Market,Category,Town,Location,~km from Setúbal,Frequency,Days & hours,Types of goods,Entry,Notes,Source,Added on,Image
São Vicente Agrobio Organic Market,Organic / farmers',Lisbon,Jardim Botto Machado (next to Feira da Ladra),45,Weekly,Saturdays 09:00–14:00,"Certified organic produce, bread, eggs, honey",Free,Combine with Feira da Ladra on Saturdays,https://agrobio.pt/consumidor/mercados-agrobio/,2026-09-08,
Chiado Antiquarian Book & Collectors' Fair (Feira dos Alfarrabistas),Books / collectibles,Lisbon,"Rua Anchieta, Chiado",45,Weekly,Saturdays 10:00–17:00 (weather permitting),"Antique & used books, comics, postcards, prints, maps",Free,Running for 20+ years,https://marianaeclementina.com/feiras-de-velharias/,2026-09-08,
Príncipe Real Crafts & Antiques Fair,Crafts / antiques,Lisbon,Jardim do Príncipe Real (Jardim França Borges),45,Monthly,"Last Saturday of the month (also 1st Monday), 09:00–18:00 or 10:00–20:00 seasonally","Urban crafts, antiques, second-hand, design",Free,,https://marianaeclementina.com/feiras-de-velharias/,2026-09-08,
Príncipe Real Organic Market,Organic / farmers',Lisbon,Jardim do Príncipe Real,45,Weekly,Saturday mornings,"Organic fruit & veg, bread, eggs, preserves",Free,,https://www.timeout.pt/lisboa/pt/compras/as-melhores-feiras-e-mercados-em-lisboa,2026-09-08,
Collectors' Market at Mercado da Ribeira (Mercado das Colecções),Collectibles,Lisbon,"Mercado da Ribeira, Av. 24 de Julho",45,Weekly,Sundays 09:00–13:00 (2nd Sunday until 18:00),"Coins, stamps, postcards, pins, medals, vintage paper",Free,Good for numismatics,https://marianaeclementina.com/feiras-de-velharias/,2026-09-08,
Belém Antiques & Crafts Fair,Antiques / crafts,Lisbon,"Jardim Vasco da Gama, Belém",45,Monthly,"1st Sunday, 09:00–17:00 (winter) / 09:00–19:00 (summer)","Antiques, second-hand, crafts",Free,,https://marianaeclementina.com/feiras-de-velharias/,2026-09-08,
CCB Market (Mercado do CCB),Mixed / vintage,Lisbon,Centro Cultural de Belém,45,Monthly,1st Sunday of the month,"Vintage clothing, vinyl, seasonal produce, Portuguese design",Free,,https://www.timeout.pt/lisboa/pt/compras/as-melhores-feiras-e-mercados-em-lisboa,2026-09-08,https://media.timeout.com/images/106091461/750/562/image.jpg
LX Market,Design / vintage,Lisbon,"LX Factory, Alcântara",45,Weekly,Sundays (plus Saturdays Mar–Oct),"Independent fashion, decoration, jewellery, vinyl, art, second-hand",Free,,https://www.timeout.pt/lisboa/pt/compras/as-melhores-feiras-e-mercados-em-lisboa,2026-09-08,
Hype Market,Design / makers',Lisbon,"Av. da Igreja 37, Alvalade",45,Monthly,Last Saturday of the month,"Portuguese brands: fashion, accessories, decor, jewellery, gourmet, plants, kids",Free,~50 vendors,https://www.timeout.pt/lisboa/pt/compras/as-melhores-feiras-e-mercados-em-lisboa,2026-09-08,
Olivais Car-Boot Sale (Feira da Bagageira),Car-boot / second-hand,Lisbon,"Largo in front of Quinta Pedagógica dos Olivais, Rua Cidade de Lobito",45,Monthly,Last Saturday 10:00–17:00,"Second-hand, vintage, recycled household goods",Free,,https://aondevamos.pt/feiras-de-antiguidades-e-velharias/,2026-09-08,
Benfica Car-Boot Sale (Feira da Bagageira),Car-boot / antiques,Lisbon,"Car park, Centro Comercial Fonte Nova, Benfica",45,Monthly,Last Sunday of the month,"Antique furniture, porcelain, art objects, books, toys",Free,,https://aondevamos.pt/feiras-de-antiguidades-e-velharias/,2026-09-08,
Campo Pequeno Agrobio Organic Market,Organic / farmers',Lisbon,Jardim do Campo Pequeno,45,Weekly,Saturdays 09:00–14:00,Certified organic produce,Free,,https://agrobio.pt/consumidor/mercados-agrobio/,2026-09-08,
Parque das Nações Agrobio Organic Markets,Organic / farmers',Lisbon,Travessa Sandokan 9 (north) and Alameda dos Oceanos (south),45,Weekly,Saturdays 09:00–14:00,Certified organic produce,Free,Two sites,https://agrobio.pt/consumidor/mercados-agrobio/,2026-09-08,
Oeiras Antiques & Flea Fair,Antiques / flea,Oeiras,"Jardim Municipal de Oeiras, Rua Desembargador Faria",50,Monthly,1st Sunday 09:00–18:00,"Antiques, second-hand, collectibles",Free,,https://aondevamos.pt/feiras-de-antiguidades-e-velharias/,2026-09-08,
Carcavelos-Parede Market,General / vintage,Carcavelos (Cascais),Carcavelos-Parede,55,Weekly + monthly,Thursdays and 2nd Sunday 09:00–15:00,"General goods, vintage",Free,,https://www.cascais.pt/servico/feirasmercados,2026-09-08,
Carcavelos Agrobio Organic Market,Organic / farmers',Carcavelos (Cascais),Next to the old market (Gelados Santini),55,Weekly,Saturdays 09:00–14:00,Certified organic produce,Free,,https://agrobio.pt/consumidor/mercados-agrobio/,2026-09-08,
S. Domingos de Rana Antiques & Crafts Fair,Antiques / crafts,Tires (Cascais),"Mercado de S. Domingos de Rana, Av. Padre Agostinho Pereira da Silva",58,Twice monthly,"1st & 3rd Sundays, 08:00–13:00 (winter) / 08:00–17:00 (summer)","Books, porcelain, furniture, coins, stamps, postcards, jewellery",Free,,https://www.cascais.pt/servico/feirasmercados,2026-09-08,
Cascais Mercado da Vila,Municipal food market,Cascais,"Cruz da Popa, Alcabideche",60,Daily + weekly,"Shops daily; fish/meat Tue–Sun; Saloio farmers' market Wed & Sat 06:30–14:00, Sun 08:00–14:00; Levante fair Wed 07:00–14:00","Fish, meat, produce, saloio farm goods, restaurants",Free,,https://www.cascais.pt/servico/feirasmercados,2026-09-08,
Cascais Agrobio Organic Market,Organic / farmers',Cascais,Rua Padre Moisés da Silva (by Mercado da Vila),60,Weekly,Saturdays 09:00–14:00,Certified organic produce,Free,,https://www.cascais.pt/servico/feirasmercados,2026-09-08,
Cascais Antiques & Crafts Fair (Jardim Visconde da Luz),Antiques / crafts,Cascais,Jardim Visconde da Luz,60,Twice weekly,Wednesdays & Fridays 09:00–20:00 (summer) / 09:00–18:00 (winter),"Vintage, antiques, handicrafts",Free,Eco-traders fair (ecological products) on Saturdays at the same garden,https://www.cascais.pt/servico/feirasmercados,2026-09-08,
Adroana Fair,General / levante,Alcabideche (Cascais),Adroana,62,Twice monthly,1st & 3rd Sundays 08:00–18:00 (Oct–Mar) / 08:00–19:00 (Apr–Sep),"Clothing, household goods, general merchandise",Free,,https://www.cascais.pt/servico/feirasmercados,2026-09-08,
Sintra Brocante Market (Mercado Brocante),Antiques / flea,Sintra,"Jardim da Correnteza, Alameda dos Combatentes",60,Twice monthly,1st & 3rd Saturdays,"Antiques, second-hand, brocante",Free,,https://visitsintra.travel/pt/visitar/feiras,2026-09-08,
São Pedro de Penaferrim Fair (Feira de São Pedro),Antiques / general,São Pedro de Sintra,Praça D. Fernando II,62,Twice monthly,2nd & 4th Sundays,"Antiques, bric-a-brac, crafts, plants, food, clothing",Free,Historic fair dating to the Middle Ages,https://visitsintra.travel/pt/visitar/feiras,2026-09-08,
Sintra Agrobio Organic Market,Organic / farmers',Sintra,Mercado da Estefânia (Mercado Municipal de Sintra),60,Weekly,Saturdays 09:00–14:00,Certified organic produce,Free,,https://agrobio.pt/consumidor/mercados-agrobio/,2026-09-08,
Évora Feiras no Largo — Crafts & Second-Hand,Antiques / crafts,Évora,Praça 1º de Maio (by the municipal market),100,Monthly,2nd Sunday,"Antiques, crafts, collectibles, second-hand",Free,At the edge of the 100 km range,https://aondevamos.pt/evora/setembro/,2026-09-08,
Bolhão Market (Mercado do Bolhão),Municipal food market,Porto,"Rua Formosa, Baixa",320,Daily,"Mon–Fri 08:00–20:00, Sat 08:00–18:00 (closed Sun)","Fish, meat, fruit & veg, cheese, cured meats, bread, flowers; restaurants upstairs",Free,"Porto's historic market, reopened in 2022 after a long restoration",https://mercadobolhao.pt/en/faqs/,2026-09-13,
Bom Sucesso Market (Mercado Bom Sucesso),Weekend market,Porto,Praça do Bom Sucesso 74-90,320,Daily,"Sun–Thu 08:00–23:00, Fri–Sat 08:00–24:00","Food hall: Portuguese classics, pastries, wine, coffee; some fresh produce",Free,,https://ohmyporto.com/best-markets-porto/,2026-09-13,
Vandoma Flea Market (Feira da Vandoma),Car-boot / second-hand,Porto,Rua Presa de Contumil 266,320,Weekly,Saturdays 08:00–13:00,"Vinyl, old books, clothes, tools, furniture, bric-a-brac",Free,Porto's big Saturday flea market — go early,https://ohmyporto.com/best-markets-porto/,2026-09-13,
Porto Belo Market (Mercado Porto Belo),Design / makers',Porto,Praça Carlos Alberto,320,Weekly,Saturdays 10:00–19:00,"Design, jewellery, records, vintage clothing, food stalls",Free,,https://ohmyporto.com/best-markets-porto/,2026-09-13,
Organic Producers' Market (Feira de Produtores Bio),Organic / farmers',Porto,Parque da Cidade,320,Weekly,Saturdays 08:30–13:30,"Organic fruit & veg, bread, honey, eggs from small producers",Free,,https://ohmyporto.com/best-markets-porto/,2026-09-13,
O Berdinho,Organic / farmers',Porto,Centro Comercial Bombarda,320,Weekly,Saturdays 10:00–16:00,"Organic and traditionally grown fruit, veg, herbs, flowers, bread, preserves, juices",Free,,https://ohmyporto.com/best-markets-porto/,2026-09-13,
Craft & Antiques Fair (Feira de Artesanato e Velharias),Crafts / antiques,Porto,Praça Dr. Francisco Sá Carneiro,320,Monthly,3rd Saturday 08:00–18:00,"Old ceramics, mirrors, vintage furniture, crafts",Free,,https://ohmyporto.com/best-markets-porto/,2026-09-13,
Matosinhos Municipal Market (Mercado Municipal de Matosinhos),Municipal food market,Matosinhos,Praça Manuel Teixeira Gomes 59,330,Daily,"Mon 07:00–14:00, Tue–Fri 06:30–18:00, Sat 06:30–16:00 (closed Sun)","Fish straight off the Matosinhos boats, fruit & veg, meat",Free,The fish is the reason to come,https://ohmyporto.com/best-markets-porto/,2026-09-13,
Senhora da Hora Market (Feira da Senhora da Hora),Car-boot / second-hand,Matosinhos,"Parque Dr. João Gomes Laranjo 132, Sra. da Hora",330,Weekly,Tuesdays 06:00–19:00,"Second-hand clothes, household goods, snacks",Free,,https://ohmyporto.com/best-markets-porto/,2026-09-13,
Gondomar Market (Feira de Gondomar),General / levante,Gondomar,Rua Ala Nuno Álvares 91,325,Weekly,Thursdays 07:00–19:00,"Fresh produce, meat, everyday food and household goods",Free,,https://ohmyporto.com/best-markets-porto/,2026-09-13,
Vila do Conde Weekly Market (Feira Semanal de Vila do Conde),General / levante,Vila do Conde,Praça de São João,350,Weekly,Friday mornings,"Vegetables, fresh fish, flowers",Free,,https://ohmyporto.com/best-markets-porto/,2026-09-13,
Braga Municipal Market (Praça — Mercado Municipal de Braga),Municipal food market,Braga,Praça do Comércio,385,Daily,"Tue–Fri 07:00–17:00, Sat 07:00–14:00 (closed Sun & Mon)","Fresh produce, butchers, fish, flowers, bakeries, delicatessens",Free,Closed Mondays as well as Sundays — unusual for a municipal market,https://praca.cm-braga.pt/horarios/,2026-09-13,
Guimarães Municipal Market (Mercado Municipal de Guimarães),Municipal food market,Guimarães,"Lameiras, Creixomil",370,Daily,"Mon–Fri 07:00–19:00, Sat 07:00–13:00 (closed Sun)","Fruit & veg, meat, fish, bread, flowers and baskets; small producers on the terrace",Free,,https://www.cm-guimaraes.pt/areas-de-intervencao/ambiente/servicos-urbanos/mercado-municipal,2026-09-13,
D. Pedro V Municipal Market (Mercado Municipal D. Pedro V),Municipal food market,Coimbra,Rua Olímpio Nicolau Rui Fernandes,200,Daily,"Mon–Sat, mornings","Regional small producers: fruit & veg, fish, meat, eggs; dining area upstairs",Free,Open since 1867 on the old Santa Cruz monastery gardens; ~470 registered producers. Confirm exact hours on the day,https://www.cm-coimbra.pt/areas/investir/comercio-com-tradicao/mercados-e-feiras,2026-09-13,
Coimbra Antiques Fair (Feira de Velharias de Coimbra),Antiques / flea,Coimbra,Praça do Comércio / Parque Dr. Manuel Braga,200,Monthly,"4th Saturday 09:00–19:00 (Mar–Sep), 09:00–18:00 (Oct–Feb)",Vintage and antiques from across Portugal,Free,Traders must register with the council for each edition,https://www.cm-coimbra.pt/areas/viver/cultura/eventos-regulares/feira-de-exposicao-e-mostra-de-velharias-de-coimbra,2026-09-13,
Aveiro Antiques Fair (Feira das Velharias),Antiques / flea,Aveiro,Aveiro,265,Monthly,4th Sunday of the month,"Second-hand goods, antiques and collectibles",Free,,https://www.cm-aveiro.pt/investidores/mercados-e-feiras-de-aveiro/poi/feira-das-velharias-75,2026-09-13,
Loulé Saturday Market (Mercadinho de Loulé),Weekend market,Loulé,Loulé town centre,250,Weekly,Saturdays 10:00–14:00,"Regional produce, crafts, local food",Free,,https://www.algarveatlas.com/mercados-e-feiras,2026-09-13,
Portimão Antiques Fair (Feira de Velharias de Portimão),Antiques / flea,Portimão,Parque de Feiras e Exposições,240,Twice monthly,1st & 3rd Sunday,"Antiques, collectibles, bric-a-brac",Free,,https://www.algarveatlas.com/mercados-e-feiras,2026-09-13,
Estoi Antiques Fair (Feira de Velharias de Estoi),Antiques / flea,Faro,Estoi,270,Twice monthly,1st & 3rd Sunday,"Antiques, second-hand goods, collectibles",Free,Estoi is 11 km north of Faro,https://www.algarveatlas.com/mercados-e-feiras,2026-09-13,
Tavira Antiques Fair (Feira de Velharias de Tavira),Antiques / flea,Tavira,Mercado Municipal,300,Weekly,"1st, 3rd, 4th & 5th Saturday","Antiques, collectibles, second-hand",Free,Not held on the 2nd Saturday,https://www.algarveatlas.com/mercados-e-feiras,2026-09-13,
Saturdays at the Market (Sábados no Mercado),Weekend market,São Brás de Alportel,Mercado Municipal — Espaço Animação,265,Weekly,Saturdays,"Local producers, crafts, regional food",Free,,https://www.algarveatlas.com/mercados-e-feiras,2026-09-13,
São Brás Flea Market (Feira de Velharias),Antiques / flea,São Brás de Alportel,Parque Roberto Nobre,265,Monthly,3rd Sunday,"Antiques, bric-a-brac, swaps",Free,Shares the day with the Mercadinho de Jardim and a swap fair,https://www.algarveatlas.com/mercados-e-feiras,2026-09-13,
Vila Real de Santo António Flea Market (Feira de Velharias),Antiques / flea,Vila Real de Santo António,Avenida da República,320,Twice monthly,2nd & 4th Saturday,"Antiques, collectibles, second-hand",Free,,https://www.algarveatlas.com/mercados-e-feiras,2026-09-13,
Lagoa Flea Market (Feira de Velharias de Lagoa),Antiques / flea,Lagoa,Terreno de Feiras,245,Monthly,4th Sunday,"Antiques, second-hand goods",Free,,https://www.algarveatlas.com/mercados-e-feiras,2026-09-13,
Évora Municipal Market (Mercado Municipal 1.º de Maio),Municipal food market,Évora,Praça 1º de Maio,110,Daily,Tue–Sun 07:00–18:00 (closed Mon),"Alentejo produce, fresh and frozen fish, butchers, cheese, cured meats, bread, crafts",Free,"Steps from Praça do Giraldo, beside the Public Garden and the Chapel of Bones",https://www.visitevora.net/mercado-municipal-evora/,2026-09-13,
Lavradores Market (Mercado dos Lavradores),Municipal food market,Funchal,Rua Brigadeiro Oudinot,,Daily,"Mon–Fri 07:00–19:00, Sat 07:00–14:00 (closed Sun & holidays)","Madeiran fruit, vegetables, flowers and a large fish hall",Free,Busiest on Friday and Saturday mornings when growers come in from the hills,https://visit.funchal.pt/mercado-dos-lavradores/,2026-09-13,
Buarcos Flea Market (Feira de Velharias de Buarcos),Flea / antiques,Figueira da Foz,"Buarcos, Figueira da Foz",230,Monthly,Weekend daytime — listings show 19–20 Sep and 17 Oct 2026,"Bric-a-brac, antiques, collectables, second-hand household goods",Free,"Seafront flea market in the old fishing quarter of Buarcos; exact weekend varies by month, check before travelling",https://www.nocartaz.pt/concelhos/figueira-da-foz/,2026-09-13,
Figueira da Foz Flea Market (Feira de Velharias da Figueira),Flea / antiques,Figueira da Foz,Figueira da Foz,230,Monthly,Saturday from 08:30 — listings show 3 Oct 2026,"Bric-a-brac, antiques, collectables, second-hand goods",Free,"Town-centre counterpart to the Buarcos market; early start, winds down by early afternoon",https://www.nocartaz.pt/concelhos/figueira-da-foz/,2026-09-13,
Loures Car-Boot Market (Feira da Bagageira),Car-boot / second-hand,Loures,"Parque Major Rosa Bastos, Loures",55,Weekly,Saturdays,"Second-hand household goods, clothes, bric-a-brac",Free,,https://www.viralagenda.com/pt/lisboa/loures,2026-09-25,
