slug,Concelho,Agenda events,On site,Last swept,Notes
felgueiras,Felgueiras,16,0,,
oliveira-de-azemeis,Oliveira de Azeméis,16,0,,
torres-vedras,Torres Vedras,16,0,,
carregal-do-sal,Carregal do Sal,15,0,,
lagos,Lagos,15,4,2026-09-09,Reached via the viralagenda Algarve page
sesimbra,Sesimbra,15,5,,
vale-de-cambra,Vale de Cambra,15,0,,
amarante,Amarante,14,0,,
arcos-de-valdevez,Arcos de Valdevez,14,0,,
miranda-do-corvo,Miranda do Corvo,14,0,,
moncao,Monção,14,0,,
valongo,Valongo,14,0,,
albergaria-a-velha,Albergaria-a-Velha,13,0,,
cartaxo,Cartaxo,13,0,,
espinho,Espinho,13,0,,
estremoz,Estremoz,13,0,,
lousada,Lousada,12,0,,
vila-do-conde,Vila do Conde,12,0,,
celorico-da-beira,Celorico da Beira,11,0,,
olhao,Olhão,11,0,,
ourem,Ourém,11,0,,
serpa,Serpa,11,0,,
arruda-dos-vinhos,Arruda dos Vinhos,10,0,,
bombarral,Bombarral,10,0,,
nordeste,Nordeste,10,0,,
seia,Seia,10,0,,
vizela,Vizela,10,0,,
covilha,Covilhã,9,0,,
penalva-do-castelo,Penalva do Castelo,9,0,,
tabua,Tábua,9,0,,
tavira,Tavira,9,1,2026-09-09,Reached via the viralagenda Algarve page
agueda,Águeda,8,0,,
esposende,Esposende,8,0,,
madalena,Madalena,8,0,,
peniche,Peniche,8,0,,
peso-da-regua,Peso da Régua,8,0,,
pombal,Pombal,8,0,,
santo-tirso,Santo Tirso,8,0,,
sao-pedro-do-sul,São Pedro do Sul,8,0,,
serta,Sertã,8,0,,
albufeira,Albufeira,7,0,,
cabeceiras-de-basto,Cabeceiras de Basto,7,0,,
caminha,Caminha,7,0,,
fundao,Fundão,7,0,,
loures,Loures,7,0,,
lousa,Lousã,7,1,,
montalegre,Montalegre,7,0,,
sobral-de-monte-agraco,Sobral de Monte Agraço,7,0,,
tomar,Tomar,7,0,,
trofa,Trofa,7,0,,
vila-do-bispo,Vila do Bispo,7,0,,
alcobaca,Alcobaça,6,0,,
amadora,Amadora,6,1,,
baiao,Baião,6,0,,
castro-marim,Castro Marim,6,0,,
idanha-a-nova,Idanha-a-Nova,6,0,,
miranda-do-douro,Miranda do Douro,6,0,,
moura,Moura,6,0,,
nazare,Nazaré,6,0,,
ponte-de-lima,Ponte de Lima,6,0,,
sardoal,Sardoal,6,0,,
arganil,Arganil,5,0,,
elvas,Elvas,5,0,,
ferreira-do-zezere,Ferreira do Zêzere,5,0,,
gouveia,Gouveia,5,0,,
lourinha,Lourinhã,5,0,,
odivelas,Odivelas,5,0,,
oliveira-de-frades,Oliveira de Frades,5,0,,
penamacor,Penamacor,5,0,,
soure,Soure,5,0,,
alcanena,Alcanena,4,0,,
alcoutim,Alcoutim,4,1,,
arouca,Arouca,4,0,,
carrazeda-de-ansiaes,Carrazeda de Ansiães,4,0,,
castro-verde,Castro Verde,4,0,,
golega,Golegã,4,0,,
macedo-de-cavaleiros,Macedo de Cavaleiros,4,0,,
mirandela,Mirandela,4,0,,
montemor-o-novo,Montemor-o-Novo,4,0,,
pedrogao-grande,Pedrógão Grande,4,0,,
reguengos-de-monsaraz,Reguengos de Monsaraz,4,0,,
silves,Silves,4,1,2026-09-09,Reached via the viralagenda Algarve page
trancoso,Trancoso,4,0,,
viana-do-alentejo,Viana do Alentejo,4,0,,
vila-nova-de-cerveira,Vila Nova de Cerveira,4,0,,
alcochete,Alcochete,3,0,,
alvito,Alvito,3,0,,
barreiro,Barreiro,3,1,,
ferreira-do-alentejo,Ferreira do Alentejo,3,0,,
figueira-de-castelo-rodrigo,Figueira de Castelo Rodrigo,3,0,,
gois,Góis,3,1,,
leiria,Leiria,3,1,,
marco-de-canaveses,Marco de Canaveses,3,0,,
mondim-de-basto,Mondim de Basto,3,0,,
murca,Murça,3,0,,
murtosa,Murtosa,3,0,,
sao-bras-de-alportel,São Brás de Alportel,3,4,2026-09-09,Reached via the viralagenda Algarve page
seixal,Seixal,3,1,,
sintra,Sintra,3,2,,
vila-flor,Vila Flor,3,0,,
vila-nova-de-poiares,Vila Nova de Poiares,3,1,,
alvaiazere,Alvaiázere,2,0,,
armamar,Armamar,2,0,,
castro-daire,Castro Daire,2,0,,
chamusca,Chamusca,2,0,,
ilhavo,Ílhavo,2,0,,
marvao,Marvão,2,0,,
mertola,Mértola,2,0,,
moimenta-da-beira,Moimenta da Beira,2,0,,
oliveira-do-bairro,Oliveira do Bairro,2,0,,
portimao,Portimão,2,0,,
redondo,Redondo,2,0,,
ribeira-grande,Ribeira Grande,2,0,,
santana,Santana,2,0,,
vila-real-de-santo-antonio,Vila Real de Santo António,2,1,2026-09-09,Reached via the viralagenda Algarve page
vinhais,Vinhais,2,0,,
aljezur,Aljezur,1,0,,
aljustrel,Aljustrel,1,0,,
alpiarca,Alpiarça,1,0,,
anadia,Anadia,1,0,,
belmonte,Belmonte,1,0,,
borba,Borba,1,0,,
cadaval,Cadaval,1,0,,
caldas-da-rainha,Caldas da Rainha,1,0,,
camara-de-lobos,Câmara de Lobos,1,0,,
castelo-branco,Castelo Branco,1,1,,
condeixa-a-nova,Condeixa-a-Nova,1,0,,
corvo,Corvo,1,0,,
lamego,Lamego,1,1,,
mangualde,Mangualde,1,0,,
mealhada,Mealhada,1,0,,
meda,Mêda,1,1,,
mesao-frio,Mesão Frio,1,0,,
mogadouro,Mogadouro,1,0,,
oleiros,Oleiros,1,0,,
oliveira-do-hospital,Oliveira do Hospital,1,0,,
pampilhosa-da-serra,Pampilhosa da Serra,1,0,,
penela,Penela,1,0,,
ribeira-de-pena,Ribeira de Pena,1,0,,
sabrosa,Sabrosa,1,0,,
salvaterra-de-magos,Salvaterra de Magos,1,0,,
santa-marta-de-penaguiao,Santa Marta de Penaguião,1,0,,
sever-do-vouga,Sever do Vouga,1,0,,
tabuaco,Tabuaço,1,0,,
torre-de-moncorvo,Torre de Moncorvo,1,0,,
vagos,Vagos,1,0,,
vila-de-rei,Vila de Rei,1,0,,
vila-nova-de-foz-coa,Vila Nova de Foz Côa,1,0,,
vila-vicosa,Vila Viçosa,1,0,,
